x,y,class
-0.735774,0.0789682,1
-0.749238,-0.033809,1
-0.722894,0.234573,1
-0.753356,0.159233,1
-0.648603,0.43326,1
-0.705389,0.355705,1
-0.422556,0.679298,1
-0.631931,0.506718,1
-0.426369,0.700435,1
-0.423915,0.71358,1
-0.432978,0.719813,1
-0.322556,0.786421,1
-0.172489,0.842524,1
-0.31527,0.810867,1
0.0451923,0.878839,1
0.205731,0.865895,1
0.0746088,0.896902,1
0.322592,0.850902,1
0.479432,0.785204,1
0.263272,0.891957,1
0.725517,0.597683,1
0.267729,0.911494,1
0.523644,0.80461,1
0.451135,0.858707,1
0.9584,0.204619,1
0.94501,0.295053,1
0,0,2
0.00994216,0.00107399,2
0.0168762,0.0107329,2
0.0266757,-0.0137262,2
0.0392788,0.00756152,2
0.0466537,-0.0179843,2
0.0588367,0.0117579,2
0.0510938,-0.0478479,2
0.068601,-0.0411571,2
0.0715976,-0.0545324,2
0.0925654,-0.0378371,2
0.0637611,-0.0896355,2
0.0605717,-0.103591,2
0.0718313,-0.108352,2
0.0676169,-0.122589,2
0.0522237,-0.140615,2
0.0899693,-0.132308,2
0.0532238,-0.161453,2
-0.0206642,-0.17881,2
0.0551066,-0.181833,2
0.022717,-0.198706,2
-0.0537873,-0.202995,2
-0.0756645,-0.206579,2
-0.104127,-0.20508,2
-0.150075,-0.18729,2
-0.105034,-0.226865,2
-0.0671778,-0.251172,2
-0.203292,-0.177686,2
-0.142024,-0.241307,2
-0.223095,-0.18528,2
-0.22161,-0.20221,2
-0.191064,-0.24412,2
-0.315934,-0.0508498,2
-0.329982,-0.00342526,2
-0.337269,0.0430094,2
-0.334415,-0.10328,2
-0.357959,-0.0382803,2
-0.368201,0.0364413,2
-0.324835,0.197185,2
-0.292601,0.257846,2
-0.312115,0.250169,2
-0.194353,0.361008,2
-0.355921,0.222981,2
-0.0635732,0.425275,2
-0.183683,0.399826,2
-0.146179,0.425596,2
-0.0941446,0.450263,2
-0.231729,0.408903,2
-0.178246,0.445678,2
-0.152829,0.465557,2
0.0585271,0.496563,2
0.100911,0.499917,2
0.0275348,0.51927,2
-0.0756658,0.524571,2
0.208412,0.498161,2
-0.023498,0.549498,2
0.349436,0.437601,2
0.255028,0.509765,2
0.20605,0.542165,2
0.366442,0.462407,2
0.434307,0.413978,2
0.490181,0.363073,2
0.567452,0.249795,2
0.615191,0.135793,2
0.545309,0.33502,2
0.610006,-0.224484,2
0.653248,-0.0941652,2
0.580527,-0.334497,2
0.630851,-0.253826,2
0.686745,-0.0669422,2
0.628635,-0.307926,2
0.57805,-0.41226,2
0.614105,-0.375866,2
0.535286,-0.496356,2
0.688533,-0.271151,2
0.469995,-0.58447,2
0.541353,-0.53342,2
0.205661,-0.742027,2
0.378275,-0.682135,2
0.426669,-0.664871,2
-0.05661,-0.797995,2
0.211798,-0.78182,2
-0.084138,-0.815672,2
-0.0532515,-0.82829,2
0.135033,-0.829075,2
-0.316186,-0.789003,2
-0.0750164,-0.856722,2
-0.619428,-0.610909,2
-0.556326,-0.681837,2
-0.785679,-0.418101,2
-0.790835,-0.429628,2
-0.386929,-0.823642,2
-0.828076,-0.400862,2
-0.656775,-0.658442,2
-0.688138,-0.640364,2
-0.828431,-0.464975,2
-0.750832,-0.598207,2
-0.963374,-0.113186,2
-0.97113,-0.131554,2
-0.957565,-0.251335,2
