Feature1,Feature2,Feature3,R,G,B
0.7507832964567381,0.09515682131791303,0.5421648371273592,7,117,86
0.8377763663642108,0.9357734777496034,0.4338619052735633,202,160,171
0.3871639310860634,0.4488627253855746,0.7462127517650942,65,158,72
0.34078831509328344,0.33084968909622225,0.4586000686475499,11,83,59
0.7160251549337596,0.9178506115932746,0.9645589691793601,235,61,44
0.64800429411717,0.8483355687257803,0.9883546546031916,222,53,104
0.7311017826632787,0.04349400845516149,0.21119815463818858,165,21,116
0.6586353814790785,0.2718339230863971,0.180161743273189,236,244,110
0.274705367030339,0.27888091756795985,0.8749277647812816,216,150,209
0.416574375470269,0.746629399138563,0.838774990091645,51,14,102
0.9006795534071321,0.7677245004483618,0.45852205520244016,203,53,67
0.28942274252689093,0.8433708682459317,0.5224032040105254,183,199,15
0.2327284528509107,0.9062316345360294,0.09358488648429486,112,128,238
0.09153230343199625,0.9718584932445393,0.8239490719900647,118,189,114
0.08201533995279053,0.3806599741513471,0.9231299206668407,183,210,71
0.2540430950867705,0.4352789357144622,0.24143316773411316,5,80,34
0.24489601476288247,0.3269545673689592,0.2791617546415559,131,148,164
0.3573041510011151,0.9248053685568701,0.5695519408808529,157,50,88
0.9999865539161337,0.12369839638285818,0.6674009986528514,159,195,139
0.21063750672188697,0.5639253726921633,0.23187405065325328,220,88,22
0.36744459528276663,0.35155313193809934,0.8326820759832277,229,1,218
0.1460128190400336,0.9947510284095964,0.9773980865512425,208,201,18
0.6914760865040596,0.9847648219584728,0.7783379430180706,118,8,83
0.7292704148586812,0.6543958421631227,0.34743908726602757,255,3,247
0.8612590464322049,0.9793234628601519,0.5950987608400475,126,29,144
0.8022088380774708,0.7351962601197471,0.22302271577078303,248,164,76
0.18569841997333425,0.3471908755984552,0.010008228843704003,117,164,126
0.6030340425928375,0.9049233841856135,0.5099816906088364,6,147,111
0.06080321657312615,0.15659768766605686,0.7784217681293575,97,57,33
0.19064821534501697,0.6547039500005277,0.7319263045433633,64,174,204
0.7242433259427081,0.918675486139402,0.7369792669450032,47,164,21
0.20309622295394902,0.689785512167737,0.6023288875468106,154,13,118
0.10864249048003616,0.9510484468995336,0.6754004956474178,212,135,193
0.09267692583841425,0.5585676745805518,0.2086708980611981,103,124,228
0.06380808383690717,0.2521574313863848,0.7133421388665675,210,109,212
0.8619297251756995,0.5144905076344338,0.09539117607141501,190,178,156
0.3536094938513895,0.4099889775760883,0.558319440592308,63,4,108
0.19854048455353213,0.12036157696669769,0.14543749913493864,241,126,66
0.43470158256706315,0.41553714448400814,0.9257944516649715,97,185,20
0.2628417010238018,0.9613162969214429,0.8708109463765459,22,6,216
0.7444215666732223,0.9734012985944305,0.8230339289006817,195,109,37
0.3504810838366006,0.13951363519957283,0.6596936874613123,42,161,177
0.6719456698363164,0.7217415092069236,0.921466506765663,161,174,221
0.9602501702834761,0.8304507347303892,0.921227553808862,58,227,105
0.4348353460630966,0.98047182402146,0.5503463364124496,179,211,135
0.10781488241422466,0.9149855466691045,0.13863991620385185,140,195,130
0.9329005789415765,0.22088163933008054,0.024256834689263984,192,252,171
0.8424461943747971,0.7172389869284006,0.7982094910081069,148,5,116
0.11518616814866711,0.8198241716191588,0.5269311961480349,39,118,241
0.6376919713581733,0.3009700626750629,0.5042425746838803,254,162,219
0.7861682790090367,0.9767644398080826,0.39168966051232257,79,216,31
0.6588358156411503,0.7788761460750955,0.5372431723862828,82,168,176
0.2081537970769034,0.1967140474280954,0.737496102491631,233,194,12
0.8339761547803509,0.353854321250226,0.8237948726789285,5,233,248
0.7500723746746106,0.6681915977217099,0.4064875624718114,84,35,154
0.8399682570453425,0.7008582207504885,0.7251957126900529,171,167,86
0.004511716132805876,0.7561340226729346,0.24420177503255203,158,173,14
0.4411316016490747,0.31031296053588553,0.3152726391641668,136,23,18
0.339283505589708,0.5869283473000806,0.7853700799356572,224,176,158
0.5347628192222252,0.19943497474793215,0.17980368717977957,212,165,31
0.13987961714365182,0.5921001588591588,0.6900959869543775,31,84,224
0.9665885025048866,0.9954592798268788,0.2646033881787868,33,54,122
0.03017891279800755,0.5014660849643549,0.025226895313471,234,159,237
0.3621713827292532,0.26652836289103865,0.004541235589057502,206,138,81
0.4957097174909101,0.8161203949871726,0.20931368910560255,137,149,88
0.6423415159155177,0.509107989491357,0.06327492431417592,169,5,91
0.4007736125382658,0.8323061060628315,0.7320196907429581,59,24,249
0.21679801375042074,0.2540240105596131,0.06706424640317932,68,95,35
0.33743901730821513,0.0712096199987009,0.440340987618261,20,59,13
0.43252321441174035,0.24311264540653466,0.040924239478676294,173,86,112
0.3852329457220621,0.6114941249344659,0.9611833978354044,197,69,32
0.49432092284585094,0.08944878927152367,0.3008174454941057,47,32,45
0.6850964295068511,0.3056025551701135,0.8978994650428258,26,70,253
0.8830925881475535,0.40329027735203116,0.14836133799984486,45,45,16
0.2034314852510941,0.707923074210137,0.6230355413022991,59,13,108
0.3750759432806192,0.6144132159132834,0.30854237309063837,240,200,105
0.9685190120367699,0.20168949195609576,0.32720655129527654,90,148,250
0.8812723584395694,0.7204163034685396,0.9115472157050435,191,228,207
0.04633706261676973,0.18939453284391683,0.289432777191429,218,246,67
0.5360918206737364,0.628064158043758,0.1326744737453288,106,65,66
0.3920504002230081,0.664613092224707,0.12176055811579434,189,32,198
0.14939762469752604,0.36610539683323384,0.002230489760740584,50,172,223
0.423507513292536,0.2147721743572455,0.4046772484179,202,230,188
0.2240885104500413,0.003804186326642922,0.05344369304095353,81,134,4
0.34494535962103634,0.4702617557336366,0.07470187282416385,170,250,109
0.4519662254587131,0.11028891197341173,0.4327829952503227,7,204,180
0.8847484387962391,0.8770250591320605,0.12779942616584328,15,192,32
0.666999392476019,0.07825488711675854,0.49697935229579226,71,131,251
0.44167503198852065,0.6153444615970586,0.653321311349701,241,136,180
0.04332788761993267,0.8210004211051656,0.628255672760067,198,121,13
0.3974377294576603,0.18356803811857048,0.6828703021707005,68,87,163
0.9648269364278282,0.12091198562384853,0.19415203572375395,30,208,198
0.4289713949296027,0.7585750946625766,0.9385327713179812,97,78,49
0.9775124563229634,0.5662117004595829,0.779198230997171,33,213,177
0.16030144364051657,0.17688892976766712,0.967652711766027,77,160,77
0.34541506797909194,0.1161455242524988,0.38096631628866484,36,100,42
0.7018300234630542,0.48713500391525666,0.6255363420881567,102,36,28
0.44081258073077445,0.5743327388658742,0.9898633106537164,2,109,5
0.33057291012745527,0.020622975522264886,0.7840766377000946,73,229,120
0.0937443761030805,0.615025750099363,0.2672513222311065,226,15,112
0.05362918703045583,0.5181724765480429,0.9633849895319333,56,90,201
0.8486159485178213,0.9269280883292463,0.9781733226542284,37,109,248
0.5314497895276027,0.3384193332815383,0.6145662136714208,120,119,216
0.4197194204266623,0.031491337104372685,0.4472640858872329,27,87,222
0.4009488573583255,0.43529785204739413,0.04541014069123783,43,176,198
0.9288738773749134,0.3327224534243133,0.759031558880226,222,157,128
0.1554781627411761,0.058898287760428714,0.9548915905032931,115,0,167
0.10121920261391226,0.714579190591595,0.22531930783455323,105,93,242
0.6131421908186905,0.4826547407535572,0.6782346917617043,91,190,37
0.6977084532803667,0.9845004505724588,0.48993017093459323,175,95,181
0.6741448642653708,0.9111800038930473,0.7351690705346052,169,128,179
0.356484932908393,0.6723886967171213,0.30635055076020323,244,229,255
0.02341122852576516,0.7453854585374385,0.05755910806526299,24,143,238
0.35924572046767933,0.7012436192080369,0.7820317487458764,243,245,221
0.8701084440161556,0.3081892890472856,0.7012887182181098,45,223,208
0.7414822776309479,0.13153415599103935,0.898933667662031,94,122,196
0.7132272613055618,0.06493591228865081,0.7210556773426386,176,245,63
0.5133188046791342,0.2627204926977311,0.21458820714325821,215,52,25
0.20813974761636778,0.23034534525699202,0.11716565741167262,206,188,27
0.015695664692716882,0.8150260311262142,0.3404744167757141,85,13,186
0.9856118113465834,0.7889722509455128,0.6400273139134065,8,26,179
0.04151738728268051,0.1893216476009939,0.8398415722993384,176,56,115
0.5866907990529187,0.0858744453686544,0.28256108129294577,129,80,26
0.4226419622836124,0.9242968979691999,0.28143295251986433,236,252,108
0.9171864608094693,0.4379037304254426,0.7988749189622177,143,111,81
0.6309819181560706,0.6957396554006898,0.5611288649025356,73,102,251
0.4393699259135798,0.17376008560567724,0.5019123929067388,211,247,209
0.9605735308468235,0.11955074142855304,0.09067734561879504,100,181,203
0.981925886005498,0.9650985902539252,0.8659356550804508,30,55,73
0.9388048502736837,0.8272400082539383,0.8597349782325282,196,25,93
0.6630823914010543,0.5494522845068016,0.37767590819948405,2,10,67
0.8110773529848763,0.45445265767687704,0.6078674203858564,65,193,210
0.43386386005881694,0.4431306720441539,0.36758740406580326,169,225,255
0.9800167998068896,0.03295297516166085,0.7723609483650945,89,46,172
0.2821679865382172,0.4053334661909801,0.9581650085919273,91,54,76
0.5712258145170407,0.836236671673086,0.1789498786805983,18,31,123
0.7580430787125105,0.7537665319633863,0.9480303057081539,47,152,186
0.7670487125235542,0.367048199736984,0.8084071770124812,105,222,57
0.7480538657856893,0.8764844700554798,0.22653139837763447,67,89,10
0.34423211580187907,0.0690899263130712,0.26425490439647215,130,100,227
0.21661318293266674,0.5740525018770896,0.35266048729336974,187,185,87
0.7733515117017127,0.18456977160289767,0.2533801939967568,64,77,244
0.647452199012041,0.9775537336575488,0.9660623333501394,151,71,10
0.11801332866579883,0.9947939947481425,0.686401073209086,73,135,169
0.3734743994283425,0.6259089757239997,0.3530390100081414,6,67,162
0.9141369441882982,0.28565880338670735,0.7408979992957613,104,116,46
0.8770720076135863,0.07202586357100593,0.6384895409030106,54,7,49
0.8884467088143765,0.7530309686240617,0.02771447638904223,171,208,94
0.9700623323545563,0.45366575965650446,0.8746156016994816,114,136,79
0.7653294569333169,0.9021381218156721,0.5921257992149225,72,26,65
0.19683238645694534,0.38288408660260753,0.42355837284605746,101,229,139
0.10708395342485222,0.37686927191288966,0.25708804206576175,19,180,137
0.9990011904658163,0.5359533954975421,0.18086134697301415,48,11,138
0.7009840516561794,0.054812631099861675,0.26127019677953967,17,236,214
0.554695624904566,0.1722131664226516,0.04303660726483205,15,80,64
0.4144421458638097,0.41612406481703734,0.7901507612489551,12,146,104
0.6496161611015765,0.6210113738536828,0.8553834465336958,163,130,188
0.7739944358199393,0.049810485226006396,0.637737336397695,111,249,252
0.7779938069978154,0.2427951926962747,0.43986245410456914,209,173,27
0.98673252917291,0.984210934162154,0.6969611862325947,224,241,160
0.5841014801837269,0.7937693363276159,0.46001732732229916,6,250,44
0.964998356228424,0.43521583967089017,0.5500007912551972,205,213,232
0.23726351202672413,0.5417533106527359,0.34263790664935034,27,242,165
0.03601186130553924,0.4342544397052035,0.029507721129105824,249,204,18
0.7788831890328746,0.8222442284667341,0.8471346834038009,200,221,57
0.18513565127260778,0.7250235980997013,0.4266531257310562,201,124,178
0.2464345026199135,0.9806806831967066,0.2282198917745335,28,250,232
0.06185601946931951,0.2780803069458905,0.14129667558412362,117,56,239
0.3055622776117233,0.26179059754770995,0.9597495929139555,217,243,18
0.3767816799467747,0.2916143339514239,0.7164173944547612,49,116,26
0.6261704588309929,0.24634854103089787,0.45744346623863075,125,147,219
0.5158155736608029,0.2930666519312862,0.522542516217508,203,104,59
0.2978702352810413,0.773767867960854,0.8136083161263092,235,63,120
0.3684184003160542,0.013784291684764582,0.0013919371952376691,224,23,146
0.6182898273413833,0.24327559113068897,0.4081156028315879,251,229,81
0.8221697377304333,0.6248305084798155,0.20382232546387324,251,242,134
0.40647175852687645,0.32235295616197635,0.5772486215396463,121,255,10
0.3534984971945794,0.27495721035870935,0.40451615907796146,213,18,23
0.22390028840590248,0.5138292786206653,0.6190495335258848,56,99,158
0.36283650599420914,0.972118235818177,0.9392466434984001,42,83,194
0.3485369656337982,0.3694297365317165,0.6076845134172784,233,240,217
0.7640976611799298,0.34847427294614275,0.5159444975687065,128,241,198
0.9218708929181862,0.23617863280570972,0.8626313305869078,4,170,12
0.16502758621042435,0.47536092180668,0.02794448860866905,253,181,215
0.057317675596565754,0.9960691909983305,0.5535831070503653,175,136,168
0.5683789638018275,0.3469914019020732,0.8502178155326078,39,83,160
0.7901095635241917,0.4791025480466846,0.4104518684661197,183,60,113
0.08123683866092413,0.7583971241198004,0.04387996720250298,112,247,93
0.11242086384871963,0.51840620770055,0.8406395139377297,174,61,196
0.81611611659832,0.7426787427785745,0.5839926925222338,28,44,72
0.9671095638528266,0.8954775627271695,0.8371386961244128,53,94,46
0.8106416428454816,0.6974803900662224,0.3418922206307268,80,0,140
0.593045771593658,0.4582064666217417,0.8693873519595895,59,225,199
0.31223626390305326,0.15371637647723402,0.9446469698055473,74,132,21
0.9385212262086466,0.3382688570997423,0.9054442492466758,19,65,202
0.8267214610176644,0.6097410415130482,0.25929862422721794,102,45,116
0.06976035494836008,0.016663469316352764,0.3049620594036705,131,236,246
0.7481153068295467,0.7662932754706172,0.25107185872459714,169,85,205
0.6386658111539454,0.578189353727892,0.8399960850575929,65,124,56
0.9305838918941226,0.42216882899353037,0.6385962237172511,84,152,19
0.03537514932488495,0.5793231208359371,0.6921935613495681,194,150,126
0.2792391188778707,0.49050169129285304,0.7189092930487951,122,245,22
0.7286866581474758,0.5572654633467548,0.09294773299555081,146,239,212
0.04942823253962558,0.6823161496270976,0.4679339888510281,83,5,191
0.9655396585663271,0.3286326125626178,0.014924052054527626,123,122,156
0.5763982416154176,0.03247515711215798,0.12655372552595956,175,81,95
0.04349703422686291,0.2808826267663175,0.07777804141677391,126,169,156
0.7892109045488945,0.8074824852745732,0.39165366490919507,46,148,85
0.04515624177908151,0.36858348161166343,0.9047436675600945,30,47,217
0.20224650527510912,0.7749751023778463,0.837861722208317,186,190,128
0.8225129343637129,0.3565195237244857,0.28054854098632176,239,27,69
0.00909193286134169,0.14945351539419793,0.03240453017384537,242,201,24
0.06132016643882254,0.5463538558381227,0.33315831975782007,173,185,81
0.9595502415500725,0.28875875857501776,0.5447802990285331,253,29,119
0.1882278752613432,0.8967828911514728,0.39495203890672914,25,93,241
0.8380922618693056,0.08827590633688975,0.6080295520919671,221,26,51
0.44563783078149255,0.3354477708248772,0.1746831245692969,119,138,46
0.332826984745497,0.4771940287718398,0.1741132717153414,45,60,212
0.26257945181315434,0.6245297645981343,0.9207764923881475,152,234,151
0.10161161109894168,0.36033789648658876,0.3420678267932965,180,91,18
0.7883358356398856,0.3759386675727576,0.7490939222365827,186,116,105
0.3637559650455088,0.9996548890997614,0.9543150136753207,155,43,241
0.15096549663235925,0.3611907824337317,0.12452509961462255,149,191,236
0.38600228179186447,0.2071324903488342,0.889147780806359,134,152,190
0.585579894807993,0.2984236989121867,0.7568470248962046,49,146,191
0.24736649966689384,0.7024922132650979,0.43029587015128423,180,220,92
0.44253311035538345,0.6795388333241705,0.9518235586365066,44,24,254
0.5740651956127741,0.23764455133358164,0.6984016274777008,90,87,165
0.4473619857516914,0.42091518823225504,0.6689443968346642,230,153,83
0.41680777358474463,0.5455792534180227,0.8073915580133985,75,73,169
0.9607798503566896,0.16325288808108485,0.20654184381990603,76,137,219
0.2962231219984417,0.8688846554511979,0.6411511861203293,38,9,166
0.6070390596049398,0.32430272341471034,0.21258822785051135,0,240,166
0.3698771688219613,0.6855546000588756,0.6542276070261006,18,227,56
0.8967377525187162,0.890514417692818,0.5055926794125234,116,25,24
0.12738851661006545,0.6013609838525744,0.643612987660911,159,96,182
0.9038017013000409,0.6245100436478613,0.6380726437880874,35,162,209
0.6078303038163103,0.5739743631484086,0.836696478023228,160,142,216
0.9656688127412925,0.8222895992830229,0.47416114698033573,109,95,202
0.5889476185047223,0.1751643938762497,0.6750543524095018,67,61,211
0.6736823890120214,0.37412836461569665,0.25823453826706166,114,147,14
0.44354717776301866,0.9371916098857007,0.7526135190274149,202,236,110
0.029235862373024446,0.011297746753962667,0.07183972324378751,110,172,245
0.05146356656318973,0.6057898447025153,0.17324458545818755,54,229,96
0.983133237091076,0.3187075704703225,0.6117640278355949,181,249,201
0.5392012382738477,0.907420408566138,0.7291346643411296,9,158,91
0.04552254613886142,0.5059251926717105,0.9004259300973685,7,35,25
0.20084009770840328,0.3465492319508018,0.7754710863257839,240,171,81
0.6726467049780763,0.022567941211849796,0.3424376385511644,145,67,99
0.6916958186117769,0.8434514558797491,0.9673620273643182,193,14,68
0.26125457692474885,0.0702063748003573,0.01000211773289994,68,252,0
0.7372915044101096,0.30582155179509507,0.03212522144246954,43,40,22
0.2343783478372109,0.2879816599256966,0.29226811629019533,140,18,134
0.698530995772428,0.8825853155208871,0.40131709915953095,156,235,161
0.5188253065940734,0.8189692799890628,0.21612137421334054,236,32,62
0.3933177479248887,0.08915379746572494,0.7667082163397222,166,20,13
0.704799360261709,0.7924742101747935,0.40669945381775174,125,140,189
0.8882696382022304,0.0405350111700975,0.11845071631984472,33,120,8
0.08683355111846403,0.09224661778655385,0.38621848667585645,169,197,224
0.7870708651186509,0.6580709893144102,0.7279065957802298,68,22,175
0.8764353988644218,0.2917002681073031,0.6291353226338463,90,47,173
0.3159203327568607,0.6916775030671147,0.9150842110504146,17,197,169
0.6262124524710765,0.630265893405111,0.1643128801806989,190,221,88
0.6985933154237071,0.10599846989170492,0.21235183607754282,104,179,49
0.6806714940531724,0.20082203130502618,0.436710528561873,234,180,131
0.8265932272637592,0.21700397419380268,0.40632768726324153,20,125,215
0.9709038907163748,0.5636213255880799,0.5002498850382209,213,69,99
0.20751122200908712,0.5212962946516195,0.779920478574249,201,202,98
0.5593876851547617,0.9496517470894649,0.997044437899117,8,108,9
0.5640769843760239,0.7527108024021528,0.1924230117918555,188,144,212
0.05132084654586755,0.6214934076205474,0.26615722200749414,96,146,178
0.8513899803920935,0.6013967846046354,0.04187237420961032,70,9,62
0.7825528214510543,0.4717530807149649,0.15758638172637074,126,29,48
0.10583254465592129,0.48562331327022135,0.10288193834637038,254,175,193
0.898512163044196,0.03525484131863521,0.751314496544766,43,70,114
0.5453647870425559,0.9665923816326684,0.031067378668282908,98,172,116
0.5030707376541605,0.886387097052634,0.34328091667419725,160,69,4
0.660667511859523,0.6812053484350099,0.4643934389126433,227,129,6
0.911271717953736,0.11822045048958807,0.9910826090898677,32,17,96
0.1733768140936648,0.3714301443187106,0.3962508050337382,80,195,188
0.5757614473314802,0.3154866827898466,0.809640389444805,194,16,40
0.20644082281129783,0.22314609449818235,0.5384695228652833,180,166,5
0.6157926808162782,0.6251355461135221,0.13282747707239584,113,129,134
0.02316837156691509,0.648013107585169,0.6766637572504522,105,80,72
0.8527052833260763,0.6316745577032433,0.30585380136700513,220,76,170
0.7595876901858274,0.316119348759632,0.005197604749032081,63,228,13
0.06897534542406325,0.9932631599112762,0.27678371337741703,170,105,139
0.3497463769413297,0.6698186468919615,0.8382422084780892,59,131,191
0.7614795144349754,0.3307058938423022,0.3270740337421367,32,96,86
0.9098654307779203,0.3232771889057605,0.03667545537750849,29,254,204
0.370425178796838,0.104453164513994,0.03717253118930508,75,28,12
0.4347456005450784,0.40318135533775123,0.35260178413867693,216,21,171
0.9463776364579687,0.47216382022553727,0.7473502830525943,186,46,32
0.33933320039273984,0.5165768982942016,0.4430049406608729,240,105,179
0.4424535935349726,0.1355091132958829,0.5889748316385138,207,116,172
0.6726878427609523,0.4390449651121776,0.7823348011808628,33,213,29
0.31176057975544935,0.8056571862804369,0.682480688645934,150,184,128
0.4627386207481351,0.574648046754975,0.414183249968228,150,127,2
0.4751301076691252,0.582549797819145,0.7057883237923563,218,23,198
0.31760388559508423,0.2459253783914349,0.7771846301222266,171,93,124
0.8851113207596888,0.2093222110080647,0.41175401766332953,177,175,235
0.672409273530465,0.048369562946909084,0.03623495852450864,31,162,111
0.8251415783904724,0.4264694538920113,0.6371602643392507,223,92,26
0.006912182889430407,0.6206764292192827,0.5058246494349998,120,187,232
0.6756822577545786,0.11623453731018696,0.16466453548769444,15,68,158
0.7654157304105217,0.1665380987656162,0.692743724888837,64,138,46
0.022767706304420376,0.3822155483118985,0.26916440877920866,0,75,60
0.9922976153109719,0.07150988342687004,0.4165342941194369,226,116,90
0.7299360591165428,0.2748145291038888,0.1809757253663079,35,243,129
0.3552621449382376,0.8985748832194969,0.8540270127292077,29,146,122
0.6705206304731886,0.34844852532952164,0.9025057970763182,20,40,126
0.23862480989816548,0.8093178549749431,0.3544502288615735,146,160,207
0.8910951879507446,0.5864230642425144,0.892394960541143,230,233,138
0.5899193340783991,0.9486428208950785,0.7160354655317498,136,202,118
0.08073099842548281,0.5394785549056301,0.9885938899131079,75,203,2
0.6217467384167137,0.8310082436225976,0.4880402473625377,118,103,82
0.5807437513089343,0.7711173250471226,0.964628606861089,10,208,22
0.09300825097830667,0.9040578248211621,0.5197499398609009,185,32,181
0.9128014543008485,0.9604332119216176,0.7256653536842796,212,152,219
0.04108586503521472,0.9396912560208303,0.9927179208179963,58,33,160
0.8524938624299314,0.048238892115206045,0.6647640929730734,198,165,126
